MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	113.67871	Sec	2/13/1980 2:43:54 PM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-179.52084	-5.1986799	96.669922
-179.73994	-5.2123923	96.769531
-179.98203	-5.2281613	96.869141
-180.19397	-5.2429643	96.96875
-180.39304	-5.2587433	97.068359
-180.58823	-5.275579	97.167969
-180.79671	-5.2918615	97.267578
-180.96422	-5.3068986	97.367188
-181.12285	-5.3228855	97.466797
-181.37421	-5.3390331	97.566406
-181.61212	-5.3518662	97.666016
-181.83971	-5.3673296	97.765625
-182.0545	-5.3841596	97.865234
-182.22592	-5.3994913	97.964844
-182.42671	-5.4150991	98.064453
-182.63173	-5.4316998	98.164063
-182.84137	-5.4479184	98.263672
-183.02795	-5.4633756	98.363281
-183.23055	-5.4785075	98.462891
-183.44354	-5.4946909	98.5625
-183.66209	-5.5097523	98.662109
-183.86024	-5.5250406	98.761719
-184.05193	-5.54176	98.861328
-184.25998	-5.5562778	98.960938
-184.48039	-5.5711107	99.060547
-184.69576	-5.5889235	99.160156
-184.88268	-5.6046839	99.259766
-185.08167	-5.6204791	99.359375
-185.26498	-5.6362844	99.458984
-185.50063	-5.6522794	99.558594
-185.72395	-5.6673388	99.658203
-185.93018	-5.6834569	99.757813
-186.15143	-5.6996255	99.857422
-186.32608	-5.715538	99.957031
-186.52437	-5.7310224	100.05664
-186.72997	-5.747612	100.15625
-186.93703	-5.7626677	100.25586
-187.1391	-5.7788672	100.35547
-187.42117	-5.7945313	100.45508
-187.61244	-5.8119259	100.55469
-187.78949	-5.8287973	100.6543
-187.99338	-5.8445511	100.75391
-188.21336	-5.8606639	100.85352
-188.42241	-5.876739	100.95313
-188.63367	-5.8936143	101.05273
-188.84193	-5.9100499	101.15234
-189.04947	-5.9258285	101.25195
-189.25691	-5.9425573	101.35156
-189.46989	-5.9572835	101.45117
-189.67021	-5.9737592	101.55078
-189.87012	-5.9896855	101.65039
-190.10707	-6.0041103	101.75
-190.33286	-6.0214353	101.84961
-190.55141	-6.036499	101.94922
-190.74635	-6.0564275	102.04883
-190.94492	-6.0723743	102.14844
-191.15163	-6.0887904	102.24805
-191.36041	-6.1056042	102.34766
-191.54579	-6.1221027	102.44727
-191.75348	-6.1373544	102.54688
-191.94858	-6.1537118	102.64648
-192.17638	-6.1689577	102.74609
-192.41823	-6.1850834	102.8457
-192.64015	-6.201179	102.94531
-192.85049	-6.2185826	103.04492
-193.02928	-6.2351594	103.14453
-193.23112	-6.2526398	103.24414
-193.48943	-6.2698174	103.34375
-193.71367	-6.2876139	103.44336
-193.90045	-6.304091	103.54297
-194.12636	-6.32164	103.64258
